link	error
http://www.mta-dc.com/emploi.php	"The remote server returned an error: (404) Not Found."
http://www.mta-dc.com/mtadcfrance.php	"The remote server returned an error: (404) Not Found."
http://www.mta-dc.com/presentation.php	"The remote server returned an error: (404) Not Found."
http://www.mta-dc.com/offres.php	"The remote server returned an error: (404) Not Found."
http://www.mta-dc.com/transportmultimodal.php	"The remote server returned an error: (404) Not Found."
http://www.mta-dc.com/conditions.php	"The remote server returned an error: (404) Not Found."
http://www.mta-dc.com/mailto:mta-dc-france@mta-dc.com	"The remote server returned an error: (404) Not Found."
http://www.mta-dc.com/programme.php	"The remote server returned an error: (404) Not Found."
http://www.mta-dc.com/CBT1PresentationVersFR.pdf	"The remote server returned an error: (404) Not Found."
"http://www.mta-dc.com/CBT1 Programme Vers FR.pdf"	"The remote server returned an error: (404) Not Found."
http://www.mta-dc.com/progress.php	"The remote server returned an error: (404) Not Found."
http://www.mta-dc.com/finance.php	"The remote server returned an error: (404) Not Found."
12	" Failed links"
