link	error
http://www.spsu.edu/javascript:window.open('/helpdesk/WebObjects/Helpdesk.woa/wo/0.11.1.1.9.7.4.1.9.3.2.3.1.0.3','Help','toolbar=no,location=no,status=no,menubar=no,resizable=yes,scrollbars=yes,top=100,left=100,width=300,height=175')	"The remote server returned an error: (404) Not Found."
http://www.spsu.edu/wtlhelp/twbhhelp.htm	"The remote server returned an error: (404) Not Found."
http://www.omniupdate.com/oucampus/de.jsp?user=spsu&amp;site=spsu&amp;path=%2Fgradstudies%2Fgethelp.pcf	"Too many automatic redirections were attempted."
http://www.omniupdate.com/oucampus/de.jsp?user=spsu&amp;site=spsu&amp;path=%2Farchitecture%2Fnews%2FTrimTab_magazine_article.pcf	"Too many automatic redirections were attempted."
http://www.omniupdate.com/oucampus/de.jsp?user=spsu&amp;site=spsu&amp;path=%2Farchitecture%2Fnews%2Findex.pcf	"Too many automatic redirections were attempted."
http://www.omniupdate.com/oucampus/de.jsp?user=spsu&amp;site=spsu&amp;path=%2Farchitecture%2Fnews%2Frothschild.pcf	"Too many automatic redirections were attempted."
http://www.omniupdate.com/oucampus/de.jsp?user=spsu&amp;site=spsu&amp;path=%2Farchitecture%2Fprogram%2Findex.pcf	"Too many automatic redirections were attempted."
http://www.omniupdate.com/oucampus/de.jsp?user=spsu&amp;site=spsu&amp;path=%2Farchitecture%2Fprogram%2Fnaab.pcf	"Too many automatic redirections were attempted."
http://www.omniupdate.com/oucampus/de.jsp?user=spsu&amp;site=spsu&amp;path=%2Farchitecture%2Findex.pcf	"Too many automatic redirections were attempted."
http://www.spsu.edu/mailto:rcole@spsu.edu	"The remote server returned an error: (404) Not Found."
http://www.omniupdate.com/oucampus/de.jsp?user=spsu&amp;site=spsu&amp;path=%2Femergency%2Femergency_notification%2Foutdoorsiren.pcf	"Too many automatic redirections were attempted."
http://www.omniupdate.com/oucampus/de.jsp?user=spsu&amp;site=spsu&amp;path=%2Femergency%2Femergency_notification%2Fpasystem.pcf	"Too many automatic redirections were attempted."
http://www.omniupdate.com/oucampus/de.jsp?user=spsu&amp;site=spsu&amp;path=%2Femergency%2Femergency_notification%2Fcallboxes.pcf	"Too many automatic redirections were attempted."
http://www.omniupdate.com/oucampus/de.jsp?user=spsu&amp;site=spsu&amp;path=%2Femergency%2Femergency_notification%2Fhornetalert.pcf	"Too many automatic redirections were attempted."
http://www.omniupdate.com/oucampus/de.jsp?user=spsu&amp;site=spsu&amp;path=%2Femergency%2Femergency_notification%2Ffirealarms.pcf	"Too many automatic redirections were attempted."
http://www.omniupdate.com/oucampus/de.jsp?user=spsu&amp;site=spsu&amp;path=%2Femergency%2Femergency_notification%2Fcampusemail.pcf	"Too many automatic redirections were attempted."
http://www.omniupdate.com/oucampus/de.jsp?user=spsu&amp;site=spsu&amp;path=%2Femergency%2Femergency_notification%2Funiversitywebsite.pcf	"Too many automatic redirections were attempted."
http://www.omniupdate.com/oucampus/de.jsp?user=spsu&amp;site=spsu&amp;path=%2Femergency%2Femergency_notification%2Fother.pcf	"Too many automatic redirections were attempted."
http://www.omniupdate.com/oucampus/de.jsp?user=spsu&amp;site=spsu&amp;path=%2Femergency%2Femergency_notification%2Findex.pcf	"Too many automatic redirections were attempted."
